Entity,Code,Day,Total confirmed cases of COVID-19 (Johns Hopkins),Total confirmed cases of COVID-19 (WHO),Total confirmed cases of COVID-19,142582-annotations
Afghanistan,AFG,1/22/2020,0,,,
Afghanistan,AFG,1/23/2020,0,,,
Afghanistan,AFG,1/24/2020,0,,,
Afghanistan,AFG,1/25/2020,0,,,
Afghanistan,AFG,1/26/2020,0,,,
Afghanistan,AFG,1/27/2020,0,,,
Afghanistan,AFG,1/28/2020,0,,,
Afghanistan,AFG,1/29/2020,0,,,
Afghanistan,AFG,1/30/2020,0,,,
Afghanistan,AFG,1/31/2020,0,,,
Afghanistan,AFG,2/1/2020,0,,,
Afghanistan,AFG,2/2/2020,0,,,
Afghanistan,AFG,2/3/2020,0,,,
Afghanistan,AFG,2/4/2020,0,,,
Afghanistan,AFG,2/5/2020,0,,,
Afghanistan,AFG,2/6/2020,0,,,
Afghanistan,AFG,2/7/2020,0,,,
Afghanistan,AFG,2/8/2020,0,,,
Afghanistan,AFG,2/9/2020,0,,,
Afghanistan,AFG,2/10/2020,0,,,
Afghanistan,AFG,2/11/2020,0,,,
Afghanistan,AFG,2/12/2020,0,,,
Afghanistan,AFG,2/13/2020,0,,,
Afghanistan,AFG,2/14/2020,0,,,
Afghanistan,AFG,2/15/2020,0,,,
Afghanistan,AFG,2/16/2020,0,,,
Afghanistan,AFG,2/17/2020,0,,,
Afghanistan,AFG,2/18/2020,0,,,
Afghanistan,AFG,2/19/2020,0,,,
Afghanistan,AFG,2/20/2020,0,,,
Afghanistan,AFG,2/21/2020,0,,,
Afghanistan,AFG,2/22/2020,0,,,
Afghanistan,AFG,2/23/2020,0,,,
Afghanistan,AFG,2/24/2020,1,,,
Afghanistan,AFG,2/25/2020,1,1,1,
Afghanistan,AFG,2/26/2020,1,1,1,
Afghanistan,AFG,2/27/2020,1,1,1,
Afghanistan,AFG,2/28/2020,1,1,1,
Afghanistan,AFG,2/29/2020,1,1,1,
Afghanistan,AFG,3/1/2020,1,1,1,
Afghanistan,AFG,3/2/2020,1,1,1,
Afghanistan,AFG,3/3/2020,1,1,,
Afghanistan,AFG,3/4/2020,1,1,,
Afghanistan,AFG,3/5/2020,1,1,,
Afghanistan,AFG,3/6/2020,1,1,,
Afghanistan,AFG,3/7/2020,1,1,,
Afghanistan,AFG,3/8/2020,4,4,4,
Afghanistan,AFG,3/9/2020,4,4,,
Afghanistan,AFG,3/10/2020,5,4,,
Afghanistan,AFG,3/11/2020,7,4,7,
Afghanistan,AFG,3/12/2020,7,7,,
Afghanistan,AFG,3/13/2020,7,7,,
Afghanistan,AFG,3/14/2020,11,7,,
Afghanistan,AFG,3/15/2020,16,10,10,
Afghanistan,AFG,3/16/2020,21,16,16,
Afghanistan,AFG,3/17/2020,22,21,21,
Africa,,2/15/2020,,,1,
Africa,,2/16/2020,,,1,
Africa,,2/17/2020,,,1,
Africa,,2/18/2020,,,1,
Africa,,2/19/2020,,,1,
Africa,,2/20/2020,,,1,
Africa,,2/21/2020,,,1,
Africa,,2/22/2020,,,1,
Africa,,2/23/2020,,,1,
Africa,,2/24/2020,,,1,
Africa,,2/25/2020,,,1,
Africa,,2/26/2020,,,2,
Africa,,2/27/2020,,,2,
Africa,,2/28/2020,,,3,
Africa,,2/29/2020,,,3,
Africa,,3/1/2020,,,5,
Africa,,3/2/2020,,,6,
Africa,,3/3/2020,,,9,
Africa,,3/4/2020,,,11,
Africa,,3/5/2020,,,20,
Africa,,3/6/2020,,,29,
Africa,,3/7/2020,,,43,
Africa,,3/8/2020,,,44,
Africa,,3/9/2020,,,83,
Africa,,3/10/2020,,,95,
Africa,,3/11/2020,,,105,
Africa,,3/12/2020,,,118,
Africa,,3/13/2020,,,159,
Africa,,3/14/2020,,,202,
Africa,,3/15/2020,,,239,
Africa,,3/16/2020,,,324,
Africa,,3/17/2020,,,402,
Albania,ALB,1/22/2020,0,,,
Albania,ALB,1/23/2020,0,,,
Albania,ALB,1/24/2020,0,,,
Albania,ALB,1/25/2020,0,,,
Albania,ALB,1/26/2020,0,,,
Albania,ALB,1/27/2020,0,,,
Albania,ALB,1/28/2020,0,,,
Albania,ALB,1/29/2020,0,,,
Albania,ALB,1/30/2020,0,,,
Albania,ALB,1/31/2020,0,,,
Albania,ALB,2/1/2020,0,,,
Albania,ALB,2/2/2020,0,,,
Albania,ALB,2/3/2020,0,,,
Albania,ALB,2/4/2020,0,,,
Albania,ALB,2/5/2020,0,,,
Albania,ALB,2/6/2020,0,,,
Albania,ALB,2/7/2020,0,,,
Albania,ALB,2/8/2020,0,,,
Albania,ALB,2/9/2020,0,,,
Albania,ALB,2/10/2020,0,,,
Albania,ALB,2/11/2020,0,,,
Albania,ALB,2/12/2020,0,,,
Albania,ALB,2/13/2020,0,,,
Albania,ALB,2/14/2020,0,,,
Albania,ALB,2/15/2020,0,,,
Albania,ALB,2/16/2020,0,,,
Albania,ALB,2/17/2020,0,,,
Albania,ALB,2/18/2020,0,,,
Albania,ALB,2/19/2020,0,,,
Albania,ALB,2/20/2020,0,,,
Albania,ALB,2/21/2020,0,,,
Albania,ALB,2/22/2020,0,,,
Albania,ALB,2/23/2020,0,,,
Albania,ALB,2/24/2020,0,,,
Albania,ALB,2/25/2020,0,,,
Albania,ALB,2/26/2020,0,,,
Albania,ALB,2/27/2020,0,,,
Albania,ALB,2/28/2020,0,,,
Albania,ALB,2/29/2020,0,,,
Albania,ALB,3/1/2020,0,,,
Albania,ALB,3/2/2020,0,,,
Albania,ALB,3/3/2020,0,,,
Albania,ALB,3/4/2020,0,,,
Albania,ALB,3/5/2020,0,,,
Albania,ALB,3/6/2020,0,,,
Albania,ALB,3/7/2020,0,,,
Albania,ALB,3/8/2020,0,,,
Albania,ALB,3/9/2020,2,2,2,
Albania,ALB,3/10/2020,10,2,6,
Albania,ALB,3/11/2020,12,10,10,
Albania,ALB,3/12/2020,23,10,11,
Albania,ALB,3/13/2020,33,23,23,
Albania,ALB,3/14/2020,38,33,33,
Albania,ALB,3/15/2020,42,38,38,
Albania,ALB,3/16/2020,51,42,42,
Albania,ALB,3/17/2020,55,51,51,
Algeria,DZA,1/22/2020,0,,,
Algeria,DZA,1/23/2020,0,,,
Algeria,DZA,1/24/2020,0,,,
Algeria,DZA,1/25/2020,0,,,
Algeria,DZA,1/26/2020,0,,,
Algeria,DZA,1/27/2020,0,,,
Algeria,DZA,1/28/2020,0,,,
Algeria,DZA,1/29/2020,0,,,
Algeria,DZA,1/30/2020,0,,,
Algeria,DZA,1/31/2020,0,,,
Algeria,DZA,2/1/2020,0,,,
Algeria,DZA,2/2/2020,0,,,
Algeria,DZA,2/3/2020,0,,,
Algeria,DZA,2/4/2020,0,,,
Algeria,DZA,2/5/2020,0,,,
Algeria,DZA,2/6/2020,0,,,
Algeria,DZA,2/7/2020,0,,,
Algeria,DZA,2/8/2020,0,,,
Algeria,DZA,2/9/2020,0,,,
Algeria,DZA,2/10/2020,0,,,
Algeria,DZA,2/11/2020,0,,,
Algeria,DZA,2/12/2020,0,,,
Algeria,DZA,2/13/2020,0,,,
Algeria,DZA,2/14/2020,0,,,
Algeria,DZA,2/15/2020,0,,,
Algeria,DZA,2/16/2020,0,,,
Algeria,DZA,2/17/2020,0,,,
Algeria,DZA,2/18/2020,0,,,
Algeria,DZA,2/19/2020,0,,,
Algeria,DZA,2/20/2020,0,,,
Algeria,DZA,2/21/2020,0,,,
Algeria,DZA,2/22/2020,0,,,
Algeria,DZA,2/23/2020,0,,,
Algeria,DZA,2/24/2020,0,,,
Algeria,DZA,2/25/2020,1,,,
Algeria,DZA,2/26/2020,1,1,1,
Algeria,DZA,2/27/2020,1,1,1,
Algeria,DZA,2/28/2020,1,1,1,
Algeria,DZA,2/29/2020,1,1,1,
Algeria,DZA,3/1/2020,1,1,3,
Algeria,DZA,3/2/2020,3,1,3,
Algeria,DZA,3/3/2020,5,5,,
Algeria,DZA,3/4/2020,12,5,5,
Algeria,DZA,3/5/2020,12,12,12,
Algeria,DZA,3/6/2020,17,12,17,
Algeria,DZA,3/7/2020,17,17,,
Algeria,DZA,3/8/2020,19,17,,
Algeria,DZA,3/9/2020,20,20,20,
Algeria,DZA,3/10/2020,20,20,,
Algeria,DZA,3/11/2020,20,20,,
Algeria,DZA,3/12/2020,24,25,20,
Algeria,DZA,3/13/2020,26,25,25,
Algeria,DZA,3/14/2020,37,26,26,
Algeria,DZA,3/15/2020,48,37,37,
Algeria,DZA,3/16/2020,54,49,48,
Algeria,DZA,3/17/2020,60,60,58,
Andorra,AND,1/22/2020,0,,,
Andorra,AND,1/23/2020,0,,,
Andorra,AND,1/24/2020,0,,,
Andorra,AND,1/25/2020,0,,,
Andorra,AND,1/26/2020,0,,,
Andorra,AND,1/27/2020,0,,,
Andorra,AND,1/28/2020,0,,,
Andorra,AND,1/29/2020,0,,,
Andorra,AND,1/30/2020,0,,,
Andorra,AND,1/31/2020,0,,,
Andorra,AND,2/1/2020,0,,,
Andorra,AND,2/2/2020,0,,,
Andorra,AND,2/3/2020,0,,,
Andorra,AND,2/4/2020,0,,,
Andorra,AND,2/5/2020,0,,,
Andorra,AND,2/6/2020,0,,,
Andorra,AND,2/7/2020,0,,,
Andorra,AND,2/8/2020,0,,,
Andorra,AND,2/9/2020,0,,,
Andorra,AND,2/10/2020,0,,,
Andorra,AND,2/11/2020,0,,,
Andorra,AND,2/12/2020,0,,,
Andorra,AND,2/13/2020,0,,,
Andorra,AND,2/14/2020,0,,,
Andorra,AND,2/15/2020,0,,,
Andorra,AND,2/16/2020,0,,,
Andorra,AND,2/17/2020,0,,,
Andorra,AND,2/18/2020,0,,,
Andorra,AND,2/19/2020,0,,,
Andorra,AND,2/20/2020,0,,,
Andorra,AND,2/21/2020,0,,,
Andorra,AND,2/22/2020,0,,,
Andorra,AND,2/23/2020,0,,,
Andorra,AND,2/24/2020,0,,,
Andorra,AND,2/25/2020,0,,,
Andorra,AND,2/26/2020,0,,,
Andorra,AND,2/27/2020,0,,,
Andorra,AND,2/28/2020,0,,,
Andorra,AND,2/29/2020,0,,,
Andorra,AND,3/1/2020,0,,,
Andorra,AND,3/2/2020,1,,,
Andorra,AND,3/3/2020,1,1,1,
Andorra,AND,3/4/2020,1,1,,
Andorra,AND,3/5/2020,1,1,,
Andorra,AND,3/6/2020,1,1,,
Andorra,AND,3/7/2020,1,1,,
Andorra,AND,3/8/2020,1,1,,
Andorra,AND,3/9/2020,1,1,,
Andorra,AND,3/10/2020,1,1,,
Andorra,AND,3/11/2020,1,1,,
Andorra,AND,3/12/2020,1,1,,
Andorra,AND,3/13/2020,1,1,,
Andorra,AND,3/14/2020,1,2,2,
Andorra,AND,3/15/2020,1,2,,
Andorra,AND,3/16/2020,2,2,5,
Andorra,AND,3/17/2020,39,14,14,
Antigua and Barbuda,ATG,1/22/2020,0,,,
Antigua and Barbuda,ATG,1/23/2020,0,,,
Antigua and Barbuda,ATG,1/24/2020,0,,,
Antigua and Barbuda,ATG,1/25/2020,0,,,
Antigua and Barbuda,ATG,1/26/2020,0,,,
Antigua and Barbuda,ATG,1/27/2020,0,,,
Antigua and Barbuda,ATG,1/28/2020,0,,,
Antigua and Barbuda,ATG,1/29/2020,0,,,
Antigua and Barbuda,ATG,1/30/2020,0,,,
Antigua and Barbuda,ATG,1/31/2020,0,,,
Antigua and Barbuda,ATG,2/1/2020,0,,,
Antigua and Barbuda,ATG,2/2/2020,0,,,
Antigua and Barbuda,ATG,2/3/2020,0,,,
Antigua and Barbuda,ATG,2/4/2020,0,,,
Antigua and Barbuda,ATG,2/5/2020,0,,,
Antigua and Barbuda,ATG,2/6/2020,0,,,
Antigua and Barbuda,ATG,2/7/2020,0,,,
Antigua and Barbuda,ATG,2/8/2020,0,,,
Antigua and Barbuda,ATG,2/9/2020,0,,,
Antigua and Barbuda,ATG,2/10/2020,0,,,
Antigua and Barbuda,ATG,2/11/2020,0,,,
Antigua and Barbuda,ATG,2/12/2020,0,,,
Antigua and Barbuda,ATG,2/13/2020,0,,,
Antigua and Barbuda,ATG,2/14/2020,0,,,
Antigua and Barbuda,ATG,2/15/2020,0,,,
Antigua and Barbuda,ATG,2/16/2020,0,,,
Antigua and Barbuda,ATG,2/17/2020,0,,,
Antigua and Barbuda,ATG,2/18/2020,0,,,
Antigua and Barbuda,ATG,2/19/2020,0,,,
Antigua and Barbuda,ATG,2/20/2020,0,,,
Antigua and Barbuda,ATG,2/21/2020,0,,,
Antigua and Barbuda,ATG,2/22/2020,0,,,
Antigua and Barbuda,ATG,2/23/2020,0,,,
Antigua and Barbuda,ATG,2/24/2020,0,,,
Antigua and Barbuda,ATG,2/25/2020,0,,,
Antigua and Barbuda,ATG,2/26/2020,0,,,
Antigua and Barbuda,ATG,2/27/2020,0,,,
Antigua and Barbuda,ATG,2/28/2020,0,,,
Antigua and Barbuda,ATG,2/29/2020,0,,,
Antigua and Barbuda,ATG,3/1/2020,0,,,
Antigua and Barbuda,ATG,3/2/2020,0,,,
Antigua and Barbuda,ATG,3/3/2020,0,,,
Antigua and Barbuda,ATG,3/4/2020,0,,,
Antigua and Barbuda,ATG,3/5/2020,0,,,
Antigua and Barbuda,ATG,3/6/2020,0,,,
Antigua and Barbuda,ATG,3/7/2020,0,,,
Antigua and Barbuda,ATG,3/8/2020,0,,,
Antigua and Barbuda,ATG,3/9/2020,0,,,
Antigua and Barbuda,ATG,3/10/2020,0,,,
Antigua and Barbuda,ATG,3/11/2020,0,,,
Antigua and Barbuda,ATG,3/12/2020,0,,,
Antigua and Barbuda,ATG,3/13/2020,1,,,
Antigua and Barbuda,ATG,3/14/2020,1,1,,
Antigua and Barbuda,ATG,3/15/2020,1,1,1,
Antigua and Barbuda,ATG,3/16/2020,1,1,,
Antigua and Barbuda,ATG,3/17/2020,1,1,,
Argentina,ARG,1/22/2020,0,,,
Argentina,ARG,1/23/2020,0,,,
Argentina,ARG,1/24/2020,0,,,
Argentina,ARG,1/25/2020,0,,,
Argentina,ARG,1/26/2020,0,,,
Argentina,ARG,1/27/2020,0,,,
Argentina,ARG,1/28/2020,0,,,
Argentina,ARG,1/29/2020,0,,,
Argentina,ARG,1/30/2020,0,,,
Argentina,ARG,1/31/2020,0,,,
Argentina,ARG,2/1/2020,0,,,
Argentina,ARG,2/2/2020,0,,,
Argentina,ARG,2/3/2020,0,,,
Argentina,ARG,2/4/2020,0,,,
Argentina,ARG,2/5/2020,0,,,
Argentina,ARG,2/6/2020,0,,,
Argentina,ARG,2/7/2020,0,,,
Argentina,ARG,2/8/2020,0,,,
Argentina,ARG,2/9/2020,0,,,
Argentina,ARG,2/10/2020,0,,,
Argentina,ARG,2/11/2020,0,,,
Argentina,ARG,2/12/2020,0,,,
Argentina,ARG,2/13/2020,0,,,
Argentina,ARG,2/14/2020,0,,,
Argentina,ARG,2/15/2020,0,,,
Argentina,ARG,2/16/2020,0,,,
Argentina,ARG,2/17/2020,0,,,
Argentina,ARG,2/18/2020,0,,,
Argentina,ARG,2/19/2020,0,,,
Argentina,ARG,2/20/2020,0,,,
Argentina,ARG,2/21/2020,0,,,
Argentina,ARG,2/22/2020,0,,,
Argentina,ARG,2/23/2020,0,,,
Argentina,ARG,2/24/2020,0,,,
Argentina,ARG,2/25/2020,0,,,
Argentina,ARG,2/26/2020,0,,,
Argentina,ARG,2/27/2020,0,,,
Argentina,ARG,2/28/2020,0,,,
Argentina,ARG,2/29/2020,0,,,
Argentina,ARG,3/1/2020,0,,,
Argentina,ARG,3/2/2020,0,,,
Argentina,ARG,3/3/2020,1,,,
Argentina,ARG,3/4/2020,1,1,1,
Argentina,ARG,3/5/2020,1,1,,
Argentina,ARG,3/6/2020,2,1,2,
Argentina,ARG,3/7/2020,8,2,8,
Argentina,ARG,3/8/2020,12,9,9,
Argentina,ARG,3/9/2020,12,12,12,
Argentina,ARG,3/10/2020,17,12,,
Argentina,ARG,3/11/2020,19,17,19,
Argentina,ARG,3/12/2020,19,19,,
Argentina,ARG,3/13/2020,31,31,31,
Argentina,ARG,3/14/2020,34,34,34,
Argentina,ARG,3/15/2020,45,45,45,
Argentina,ARG,3/16/2020,56,56,56,
Argentina,ARG,3/17/2020,68,65,65,
Armenia,ARM,1/22/2020,0,,,
Armenia,ARM,1/23/2020,0,,,
Armenia,ARM,1/24/2020,0,,,
Armenia,ARM,1/25/2020,0,,,
Armenia,ARM,1/26/2020,0,,,
Armenia,ARM,1/27/2020,0,,,
Armenia,ARM,1/28/2020,0,,,
Armenia,ARM,1/29/2020,0,,,
Armenia,ARM,1/30/2020,0,,,
Armenia,ARM,1/31/2020,0,,,
Armenia,ARM,2/1/2020,0,,,
Armenia,ARM,2/2/2020,0,,,
Armenia,ARM,2/3/2020,0,,,
Armenia,ARM,2/4/2020,0,,,
Armenia,ARM,2/5/2020,0,,,
Armenia,ARM,2/6/2020,0,,,
Armenia,ARM,2/7/2020,0,,,
Armenia,ARM,2/8/2020,0,,,
Armenia,ARM,2/9/2020,0,,,
Armenia,ARM,2/10/2020,0,,,
Armenia,ARM,2/11/2020,0,,,
Armenia,ARM,2/12/2020,0,,,
Armenia,ARM,2/13/2020,0,,,
Armenia,ARM,2/14/2020,0,,,
Armenia,ARM,2/15/2020,0,,,
Armenia,ARM,2/16/2020,0,,,
Armenia,ARM,2/17/2020,0,,,
Armenia,ARM,2/18/2020,0,,,
Armenia,ARM,2/19/2020,0,,,
Armenia,ARM,2/20/2020,0,,,
Armenia,ARM,2/21/2020,0,,,
Armenia,ARM,2/22/2020,0,,,
Armenia,ARM,2/23/2020,0,,,
Armenia,ARM,2/24/2020,0,,,
Armenia,ARM,2/25/2020,0,,,
Armenia,ARM,2/26/2020,0,,,
Armenia,ARM,2/27/2020,0,,,
Armenia,ARM,2/28/2020,0,,,
Armenia,ARM,2/29/2020,0,,,
Armenia,ARM,3/1/2020,1,,1,
Armenia,ARM,3/2/2020,1,1,1,
Armenia,ARM,3/3/2020,1,1,,
Armenia,ARM,3/4/2020,1,1,,
Armenia,ARM,3/5/2020,1,1,,
Armenia,ARM,3/6/2020,1,1,,
Armenia,ARM,3/7/2020,1,1,,
Armenia,ARM,3/8/2020,1,1,,
Armenia,ARM,3/9/2020,1,1,,
Armenia,ARM,3/10/2020,1,1,,
Armenia,ARM,3/11/2020,1,1,,
Armenia,ARM,3/12/2020,4,1,4,
Armenia,ARM,3/13/2020,8,1,6,
Armenia,ARM,3/14/2020,18,8,13,
Armenia,ARM,3/15/2020,26,8,20,
Armenia,ARM,3/16/2020,52,26,28,
Armenia,ARM,3/17/2020,78,52,45,
Aruba,ABW,1/22/2020,0,,,
Aruba,ABW,1/23/2020,0,,,
Aruba,ABW,1/24/2020,0,,,
Aruba,ABW,1/25/2020,0,,,
Aruba,ABW,1/26/2020,0,,,
Aruba,ABW,1/27/2020,0,,,
Aruba,ABW,1/28/2020,0,,,
Aruba,ABW,1/29/2020,0,,,
Aruba,ABW,1/30/2020,0,,,
Aruba,ABW,1/31/2020,0,,,
Aruba,ABW,2/1/2020,0,,,
Aruba,ABW,2/2/2020,0,,,
Aruba,ABW,2/3/2020,0,,,
Aruba,ABW,2/4/2020,0,,,
Aruba,ABW,2/5/2020,0,,,
Aruba,ABW,2/6/2020,0,,,
Aruba,ABW,2/7/2020,0,,,
Aruba,ABW,2/8/2020,0,,,
Aruba,ABW,2/9/2020,0,,,
Aruba,ABW,2/10/2020,0,,,
Aruba,ABW,2/11/2020,0,,,
Aruba,ABW,2/12/2020,0,,,
Aruba,ABW,2/13/2020,0,,,
Aruba,ABW,2/14/2020,0,,,
Aruba,ABW,2/15/2020,0,,,
Aruba,ABW,2/16/2020,0,,,
Aruba,ABW,2/17/2020,0,,,
Aruba,ABW,2/18/2020,0,,,
Aruba,ABW,2/19/2020,0,,,
Aruba,ABW,2/20/2020,0,,,
Aruba,ABW,2/21/2020,0,,,
Aruba,ABW,2/22/2020,0,,,
Aruba,ABW,2/23/2020,0,,,
Aruba,ABW,2/24/2020,0,,,
Aruba,ABW,2/25/2020,0,,,
Aruba,ABW,2/26/2020,0,,,
Aruba,ABW,2/27/2020,0,,,
Aruba,ABW,2/28/2020,0,,,
Aruba,ABW,2/29/2020,0,,,
Aruba,ABW,3/1/2020,0,,,
Aruba,ABW,3/2/2020,0,,,
Aruba,ABW,3/3/2020,0,,,
Aruba,ABW,3/4/2020,0,,,
Aruba,ABW,3/5/2020,0,,,
Aruba,ABW,3/6/2020,0,,,
Aruba,ABW,3/7/2020,0,,,
Aruba,ABW,3/8/2020,0,,,
Aruba,ABW,3/9/2020,0,,,
Aruba,ABW,3/10/2020,0,,,
Aruba,ABW,3/11/2020,0,,,
Aruba,ABW,3/12/2020,0,,,
Aruba,ABW,3/13/2020,2,,2,
Aruba,ABW,3/14/2020,2,,,
Aruba,ABW,3/15/2020,2,,,
Aruba,ABW,3/16/2020,2,,,
Aruba,ABW,3/17/2020,3,2,,
Asia,,1/22/2020,,,533,
Asia,,1/23/2020,,,630,
Asia,,1/24/2020,,,896,
Asia,,1/25/2020,,,1344,
Asia,,1/26/2020,,,2013,
Asia,,1/27/2020,,,2807,
Asia,,1/28/2020,,,4572,
Asia,,1/29/2020,,,6047,
Asia,,1/30/2020,,,7799,
Asia,,1/31/2020,,,9793,
Asia,,2/1/2020,,,11903,
Asia,,2/2/2020,,,14507,
Asia,,2/3/2020,,,17321,
Asia,,2/4/2020,,,20561,
Asia,,2/5/2020,,,24456,
Asia,,2/6/2020,,,28195,
Asia,,2/7/2020,,,31367,
Asia,,2/8/2020,,,34800,
Asia,,2/9/2020,,,37418,
Asia,,2/10/2020,,,40399,
Asia,,2/11/2020,,,42894,
Asia,,2/12/2020,,,44925,
Asia,,2/13/2020,,,60074,
Asia,,2/14/2020,,,64240,
Asia,,2/15/2020,,,66798,
Asia,,2/16/2020,,,68826,
Asia,,2/17/2020,,,70892,
Asia,,2/18/2020,,,72788,
Asia,,2/19/2020,,,74564,
Asia,,2/20/2020,,,75017,
Asia,,2/21/2020,,,75996,
Asia,,2/22/2020,,,77044,
Asia,,2/23/2020,,,77989,
Asia,,2/24/2020,,,78402,
Asia,,2/25/2020,,,79077,
Asia,,2/26/2020,,,79833,
Asia,,2/27/2020,,,80819,
Asia,,2/28/2020,,,81739,
Asia,,2/29/2020,,,83266,
Asia,,3/1/2020,,,84669,
Asia,,3/2/2020,,,85997,
Asia,,3/3/2020,,,87270,
Asia,,3/4/2020,,,88784,
Asia,,3/5/2020,,,90037,
Asia,,3/6/2020,,,91394,
Asia,,3/7/2020,,,93356,
Asia,,3/8/2020,,,94981,
Asia,,3/9/2020,,,96146,
Asia,,3/10/2020,,,97061,
Asia,,3/11/2020,,,98406,
Asia,,3/12/2020,,,100036,
Asia,,3/13/2020,,,101409,
Asia,,3/14/2020,,,103234,
Asia,,3/15/2020,,,105038,
Asia,,3/16/2020,,,106990,
Asia,,3/17/2020,,,108796,
Asia excl. China,,1/22/2020,,,7,
Asia excl. China,,1/23/2020,,,7,
Asia excl. China,,1/24/2020,,,14,
Asia excl. China,,1/25/2020,,,21,
Asia excl. China,,1/26/2020,,,25,
Asia excl. China,,1/27/2020,,,32,
Asia excl. China,,1/28/2020,,,44,
Asia excl. China,,1/29/2020,,,53,
Asia excl. China,,1/30/2020,,,65,
Asia excl. China,,1/31/2020,,,79,
Asia excl. China,,2/1/2020,,,94,
Asia excl. China,,2/2/2020,,,108,
Asia excl. China,,2/3/2020,,,110,
Asia excl. China,,2/4/2020,,,113,
Asia excl. China,,2/5/2020,,,136,
Asia excl. China,,2/6/2020,,,148,
Asia excl. China,,2/7/2020,,,160,
Asia excl. China,,2/8/2020,,,175,
Asia excl. China,,2/9/2020,,,186,
Asia excl. China,,2/10/2020,,,193,
Asia excl. China,,2/11/2020,,,198,
Asia excl. China,,2/12/2020,,,201,
Asia excl. China,,2/13/2020,,,209,
Asia excl. China,,2/14/2020,,,219,
Asia excl. China,,2/15/2020,,,239,
Asia excl. China,,2/16/2020,,,260,
Asia excl. China,,2/17/2020,,,274,
Asia excl. China,,2/18/2020,,,280,
Asia excl. China,,2/19/2020,,,306,
Asia excl. China,,2/20/2020,,,365,
Asia excl. China,,2/21/2020,,,453,
Asia excl. China,,2/22/2020,,,675,
Asia excl. China,,2/23/2020,,,973,
Asia excl. China,,2/24/2020,,,1168,
Asia excl. China,,2/25/2020,,,1328,
Asia excl. China,,2/26/2020,,,1674,
Asia excl. China,,2/27/2020,,,2221,
Asia excl. China,,2/28/2020,,,2812,
Asia excl. China,,2/29/2020,,,3911,
Asia excl. China,,3/1/2020,,,4740,
Asia excl. China,,3/2/2020,,,5863,
Asia excl. China,,3/3/2020,,,7009,
Asia excl. China,,3/4/2020,,,8404,
Asia excl. China,,3/5/2020,,,9540,
Asia excl. China,,3/6/2020,,,10727,
Asia excl. China,,3/7/2020,,,12588,
Asia excl. China,,3/8/2020,,,14167,
Asia excl. China,,3/9/2020,,,15287,
Asia excl. China,,3/10/2020,,,16182,
Asia excl. China,,3/11/2020,,,17498,
Asia excl. China,,3/12/2020,,,19104,
Asia excl. China,,3/13/2020,,,20455,
Asia excl. China,,3/14/2020,,,22261,
Asia excl. China,,3/15/2020,,,24043,
Asia excl. China,,3/16/2020,,,25970,
Asia excl. China,,3/17/2020,,,27733,
Australia,AUS,1/22/2020,0,,,
Australia,AUS,1/23/2020,0,,,
Australia,AUS,1/24/2020,0,,,
Australia,AUS,1/25/2020,0,3,1,
Australia,AUS,1/26/2020,4,4,4,
Australia,AUS,1/27/2020,5,4,4,
Australia,AUS,1/28/2020,5,5,4,
Australia,AUS,1/29/2020,6,7,4,
Australia,AUS,1/30/2020,9,7,6,
Australia,AUS,1/31/2020,9,9,7,
Australia,AUS,2/1/2020,12,12,9,
Australia,AUS,2/2/2020,12,12,11,
Australia,AUS,2/3/2020,12,12,11,
Australia,AUS,2/4/2020,13,12,11,
Australia,AUS,2/5/2020,13,13,12,
Australia,AUS,2/6/2020,14,14,13,
Australia,AUS,2/7/2020,15,15,14,
Australia,AUS,2/8/2020,15,15,14,
Australia,AUS,2/9/2020,15,15,14,
Australia,AUS,2/10/2020,15,15,14,
Australia,AUS,2/11/2020,15,15,14,
Australia,AUS,2/12/2020,15,15,14,
Australia,AUS,2/13/2020,15,15,14,
Australia,AUS,2/14/2020,15,15,15,
Australia,AUS,2/15/2020,15,15,15,
Australia,AUS,2/16/2020,15,15,15,
Australia,AUS,2/17/2020,15,15,15,
Australia,AUS,2/18/2020,15,15,15,
Australia,AUS,2/19/2020,15,15,15,
Australia,AUS,2/20/2020,15,15,15,
Australia,AUS,2/21/2020,19,17,17,
Australia,AUS,2/22/2020,22,21,21,
Australia,AUS,2/23/2020,22,22,22,
Australia,AUS,2/24/2020,22,22,22,
Australia,AUS,2/25/2020,22,22,22,
Australia,AUS,2/26/2020,22,23,22,
Australia,AUS,2/27/2020,23,23,23,
Australia,AUS,2/28/2020,23,23,23,
Australia,AUS,2/29/2020,25,24,25,
Australia,AUS,3/1/2020,27,25,26,
Australia,AUS,3/2/2020,30,27,29,
Australia,AUS,3/3/2020,39,33,33,
Australia,AUS,3/4/2020,52,43,41,
Australia,AUS,3/5/2020,55,57,52,
Australia,AUS,3/6/2020,60,57,59,
Australia,AUS,3/7/2020,63,62,63,
Australia,AUS,3/8/2020,76,74,74,
Australia,AUS,3/9/2020,91,77,80,
Australia,AUS,3/10/2020,107,92,100,
Australia,AUS,3/11/2020,128,112,112,
Australia,AUS,3/12/2020,128,122,126,
Australia,AUS,3/13/2020,200,140,156,
Australia,AUS,3/14/2020,250,197,197,
Australia,AUS,3/15/2020,297,249,249,
Australia,AUS,3/16/2020,377,298,298,
Australia,AUS,3/17/2020,452,375,375,
Austria,AUT,1/22/2020,0,,,
Austria,AUT,1/23/2020,0,,,
